phi,k_s,rho_s,c_ps,gamma,ra,q_wm2_nominal,q_wm2_actual,q_Wcm2,heat_flux_mismatch,material,seed,log_q,log_ra,r_d,C1,C3,bubble_vol_factor,q_star,delta_T,log_delta_T,HTC,log_HTC,T_wall_ss,T_wall_std,n_sites_ss,q_out_ss,q_mc_ss,q_me_ss,q_nc_ss,q_rad_ss,br_ss,sim_name
10,1.4,2330,700,1.0576212892968957,5e-07,250000,250000,25,FALSE,SiO2,0,1.3979400086737748,-6.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.18553853301361334,30.843743896484398,1.4891670884093569,8105.371411428924,3.9087729202626806,403.9937438964844,0.00170042,256,250006.25,171593.5469,3718.985352,73843.875,849.8547363,0.000164244,SiO2_phi10_q250000_r5e-07_seed0
10,1.4,2330,700,1.0576212892968957,1e-06,250000,250000,25,FALSE,SiO2,0,1.3979400086737748,-6,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.18553853301361334,30.843194580078148,1.4891593537060321,8105.515767860081,3.9087806549660056,403.9931945800781,0.003539729,256,250058.7656,171647.6875,3718.944091796875,73842.28125,849.8481445,0.000164229,SiO2_phi10_q250000_r1e-06_seed0
10,1.4,2330,700,1.0576212892968957,5e-06,250000,250000,25,FALSE,SiO2,0,1.3979400086737748,-5.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.18553853301361334,30.842767333984398,1.4891533377304302,8105.628048639303,3.9087866709416073,403.9927673339844,0.004990055,256,250032.6719,171622.7031,3719.197998046875,73840.9375,849.8429565429688,0.00016424,SiO2_phi10_q250000_r5e-06_seed0
10,1.4,2330,700,1.0576212892968957,1e-08,500000,500000,50,FALSE,SiO2,0,1.6989700043368874,-8,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.3710770660272267,40.81008300781252,1.6107674781302488,12251.87412395809,4.0882025262057695,413.9600830078125,0.00495529,256,499938.2188,387799.375,6353.746582,104811.5234,973.5718994140625,0.00015851,SiO2_phi10_q500000_r1e-08_seed0
10,1.4,2330,700,1.0576212892968957,5e-08,500000,500000,50,FALSE,SiO2,0,1.6989700043368874,-7.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.3710770660272267,40.81017456,1.6107684524189494,12251.846638347226,4.088201551917069,413.9601745605469,0.007263675,256,499915.25,387779.6875,6353.650391,104808.3047,973.5729370117188,0.000158509,SiO2_phi10_q500000_r5e-08_seed0
10,1.4,2330,700,1.0576212892968957,1e-07,500000,500000,50,FALSE,SiO2,0,1.6989700043368874,-7,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.3710770660272267,40.81023559570315,1.6107691019435355,12251.828314675162,4.088200902392483,413.9602355957031,0.00660746,256,499950.0938,387811.9063,6353.376465,104811.2031,973.5737305,0.000158506,SiO2_phi10_q500000_r1e-07_seed0
10,1.4,2330,700,1.0576212892968957,5e-07,500000,500000,50,FALSE,SiO2,0,1.6989700043368874,-6.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.3710770660272267,40.81020507812502,1.610768777181364,12251.837476504343,4.088201227154655,413.9602051,0.007746605,256,500085.125,387945.8438,6353.633301,104812.0547,973.5736083984375,0.000158498,SiO2_phi10_q500000_r5e-07_seed0
10,1.4,2330,700,1.0576212892968957,1e-06,500000,500000,50,FALSE,SiO2,0,1.6989700043368874,-6,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.3710770660272267,40.81020507812502,1.610768777181364,12251.837476504343,4.088201227154655,413.9602051,0.005798004,256,499950.9375,387811.5625,6353.623535,104812.1953,973.5736083984375,0.000158508,SiO2_phi10_q500000_r1e-06_seed0
10,1.4,2330,700,1.0576212892968957,5e-06,500000,500000,50,FALSE,SiO2,0,1.6989700043368874,-5.301029996,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.3710770660272267,40.81020507812502,1.610768777181364,12251.837476504343,4.088201227154655,413.9602051,0.006955656,256,500099.9375,387962.8438,6353.298828,104810.2188,973.5734863,0.000158494,SiO2_phi10_q500000_r5e-06_seed0
10,1.4,2330,700,1.0576212892968957,1e-08,750000,750000,75,FALSE,SiO2,0,1.8750612633922792,-8,0.000262073,11.430051644530904,1.9848077530122081,3.9993110933313583,0.556615599,47.30645141601565,1.6749203716747818,15854.074392612056,4.200140891716918,420.4564514160156,0.009006875,256,749845,613987.9375,8678.796875,126119.1719,1059.174805,0.000149917,SiO2_phi10_q750000_r1e-08_seed0
